iter	Logloss
0	0.6811101447
1	0.6687617897
2	0.6580042718
3	0.647927901
4	0.6367529426
5	0.6273416663
6	0.6181703014
7	0.6092879764
8	0.6013922312
9	0.5944368065
10	0.588074907
11	0.5802250199
12	0.5732933965
13	0.5674781572
14	0.56195493615	0.5461149085
16	0.5407417874
17	0.5360001595
1818	0.539645834119	0.5343578763220	0.5301244679221	0.5261770893222	0.5220200873223	0.5180918168224	0.51371535325	0.5007613397
2626	0.5057700392727	0.5027898431
28	0.4985128029
29	0.4945868529
30	0.4899560803131	0.4842434743232	0.4799861083
33	0.4765092445
34	0.4737951145
35	0.4704318031
36	0.4678372824
37	0.4645602252
38	0.4623728864
39	0.4570122224
40	0.4505295526
41	0.4482676093
42	0.4462119654
43	0.443634026
44	0.4417209006
45	0.4392217444
46	0.4374735522
47	0.4363107222
48	0.4337778246
49	0.4319811534
50	0.4309885208
51	0.4298732119
52	0.4277809984
53	0.425883071
54	0.4244929111
55	0.4234019787
56	0.4216792614
57	0.4189645485
58	0.41748159	0.59	0.41570260	0.4106097564
61	0.409542899
62	0.4084351041
63	0.4064720939
64	0.4056254999
65	0.4037082988
66	0.4016689983
67	0.3994881703
68	0.3984585217
69	0.3972378256
70	0.3955873533
71	0.3941856628
72	0.3923575458
73	0.3908589296
74	0.3894507227
75	0.3873353423
76	0.3866965425
77	0.3843498122
78	0.3829598111
79	0.3816479022
80	0.380158392
81	0.3784098448
82	0.3773268433
83	0.3760709281
84	0.3743670626
85	0.371873908
86	0.3706423823
87	0.3691550606
88	0.3677463821
89	0.3662086694
90	0.3647530827
91	0.3631453734
92	0.3627316066
93	0.3615474659
94	0.3599430241
95	0.3590486396
96	0.3578726397
97	0.3564155564
98	0.3552562777
99	0.3541178441
100	0.3535840969
101	0.3520615325
102	0.351078889
103	0.3491226376
104	0.3486421392
105	0.3480282205
106	0.3461538994
107	0.3444470625
108	0.3425695493
109	0.3414948596
110	0.3409770963
111	0.3388142969
112	0.3378698392
113	0.3372827656
114	0.3360347631
115	0.3355318659
116	0.3340216713
117	0.3324811125
118	0.3316095316
119	0.3306705639
120	0.3303529059
121	0.3295705915
122	0.3285648749
123	0.3274270947
124	0.3262789266
125	0.325309689
126	0.3244797484
127	0.3236564113
128	0.3220964048
129	0.3208132664
130	0.31892675
131	0.3175919824
132	0.3165743621
133	0.3147529695
134	0.3137228918
135	0.3131911233
136	0.3107521732
137	0.3101123026
138	0.3089585576
139	0.3083957714
140	0.3074736301
141	0.3065674773
142	0.3051964791
143	0.3043157428
144	0.30353938
145	0.3026981581
146	0.3019709525
147	0.3014358303
148	0.3009758159
149	0.3003105352
150	0.2983083321
151	0.2971710587
152	0.2961740658
153	0.2943440068
154	0.2936596149
155	0.2925668599
156	0.2919047568
157	0.2914315844
158	0.2903220401
159	0.2890633746
160	0.2885512704
161	0.2871257873
162	0.286580666
163	0.2857885528
164	0.2850392846
165	0.283398438
166	0.2822462757
167	0.2804510918
168	0.2799937039
169	0.2788616336
170	0.2786069297
171	0.2768745988
172	0.2756268196
173	0.2753300669
174	0.2747224544
175	0.273616983
176	0.2725254312
177	0.2713196655
178	0.2703221268
179	0.269606333
180	0.2686882843
181	0.2685288275
182	0.2669588285
183	0.2658149636
184	0.2646426026
185	0.2635253143
186	0.2619427088
187	0.2606858357
188	0.2594195894
189	0.2588897948
190	0.2581126678
191	0.2572765785
192	0.2564077549
193	0.2560244963
194	0.2555068727
195	0.2545144554
196	0.253131027
197	0.2518951525
198	0.2510284909
199	0.2494173807
200	0.2484771759
201	0.2475374979
202	0.2463405724
203	0.2450205148
204	0.2435923847
205	0.2432502701
206	0.2421875008
207	0.2405790784
208	0.240065796
209	0.2395209487
210	0.2383020506
211	0.2374296634
212	0.235759432
213	0.2346256299
214	0.2333562122
215	0.232161037
